F1 23.19481516 268.45850880 6.2902 -0.849284 07928.848 3384.993 6.000 0.00000376 0.0012 0.000186
F2 26.95851157 312.01980984 5.1034 -2.388499 11620.559 2462.099 4.029 0.00000464 0.0012 0.000229
F3 21.42080448 247.92597778 2.0929 -1.891001 09997.027 1083.607 1.779 0.00001131 0.0012 0.000558
F4 27.71548633 320.78109178 0.9973 03.001985 07364.347 0482.136 0.987 0.00002374 0.0012 0.001171
F5 17.62250520 203.96418056 0.6038 00.109671 05757.060 0261.153 0.691 0.00003922 0.0012 0.001935
F6 50.15324453 580.47736725 0.3111 01.475902 02440.658 0170.487 0.535 0.00007611 0.0012 0.003755
F7 12.47882154 144.43080486 0.2462 01.336730 01851.490 0111.131 0.488 0.00009619 0.0012 0.004745
F8 18.13525291 209.89876053 0.2308 01.666664 01828.671 0100.461 0.456 0.00010262 0.0012 0.005063
F9 00.07030513 000.81371678 0.1720 02.908728 00373.807 0102.972 0.300 0.00013772 0.0012 0.006794
F10 00.10569453 001.22331632 0.1694 -3.129712 00642.924 0101.429 0.350 0.00013981 0.0012 0.006898
F11 00.04950000 000.57291667 0.1506 02.639740 00211.093 0090.158 0.279 0.00015729 0.0012 0.007760
F12 50.91071289 589.24436215 0.1497 02.265424 00878.604 0084.535 0.426 0.00015818 0.0012 0.00780
F13 05.53344382 064.04448866 0.1406 -2.669389 00862.550 0075.119 0.413 0.00016839 0.0012 0.008308
F14 19.62083260 227.09296991 0.1361 00.861799 00815.144 0062.480 0.400 0.00017400 0.0012 0.008584
F15 44.61829076 516.41540231 0.1301 -2.113708 00829.737 0069.705 0.389 0.00018208 0.0012 0.008983
F16 15.57686071 180.28773970 0.1238 -1.512670 00796.042 0054.442 0.377 0.00019134 0.0012 0.009440
F17 30.95009515 358.21869387 0.1157 -2.092364 00693.349 0061.490 0.367 0.00020468 0.0012 0.010098
F18 15.91208339 184.16763183 0.1057 01.134954 00629.656 0045.705 0.358 0.00022408 0.0012 0.011055
F19 16.21017689 187.61778808 0.1002 -2.305530 00588.781 0042.702 0.342 0.00023630 0.0012 0.011658
F20 19.04660919 220.44686563 0.0978 -2.266460 00590.737 0043.663 0.335 0.00024219 0.0012 0.011948
F21 11.91308048 137.88287593 0.0975 02.411291 00614.601 0044.605 0.328 0.00024284 0.0012 0.011981
F22 00.04950000 000.57291667 0.0878 01.224443 00502.250 0052.591 0.316 0.00026965 0.0012 0.013303
F23 21.22309483 245.63767164 0.0821 -1.580787 00477.953 0042.130 0.310 0.00028830 0.0012 0.014224
F24 01.77854494 020.58501088 0.0783 02.976526 00485.494 0047.024 0.321 0.00030241 0.0012 0.014919
F25 00.13230194 001.53127245 0.0782 00.210334 00271.230 0046.810 0.276 0.00030294 0.0012 0.014946
F26 06.30246373 072.94518206 0.0748 -2.750323 00442.737 0038.480 0.305 0.00031669 0.0012 0.015624
F27 06.91300419 080.01162257 0.0687 00.306557 00363.045 0034.224 0.296 0.00034481 0.0012 0.017011
F28 23.19771104 268.49202593 0.0631 -0.145173 00269.311 0033.938 0.286 0.00037548 0.0012 0.018524
F29 00.75789031 008.77187859 0.0591 02.852021 00360.599 0035.464 0.293 0.00040059 0.0012 0.019763
F30 23.68167050 274.09340856 0.0562 01.538126 00270.901 0030.044 0.289 0.00042163 0.0012 0.020801
F31 10.91275821 126.30507187 0.0475 00.591506 00216.755 0021.956 0.283 0.00049852 0.0012 0.024595
F32 05.57944634 064.57692523 0.0469 -0.151677 00194.272 0025.016 0.273 0.00050451 0.0012 0.024890
F33 00.21222393 002.45629549 0.0463 -2.831574 00213.580 0027.710 0.281 0.00051176 0.0012 0.025248
F34 20.62812578 238.75145579 0.0442 02.505928 00193.343 0022.072 0.271 0.00053526 0.0012 0.026407
F35 17.40844864 201.48667407 0.0432 -0.981306 00163.984 0018.612 0.265 0.00054801 0.0012 0.027036
F36 25.09353708 290.43445694 0.0429 01.706041 00193.911 0021.976 0.269 0.00055187 0.0012 0.027227
F37 00.16338575 001.89103877 0.0422 -2.425021 00177.171 0025.286 0.267 0.00056082 0.0012 0.027668
F38 24.30838825 281.34708623 0.0398 -0.936718 00145.147 0021.078 0.262 0.00059564 0.0012 0.029386
F39 20.82386719 241.01698137 0.0379 00.066842 00138.480 0019.057 0.261 0.00062557 0.0012 0.030863
F40 30.22708013 349.85046447 0.0376 -1.169072 00145.903 0019.391 0.264 0.00062962 0.0012 0.031063
F41 23.91587645 276.80412558 0.0338 00.590532 00115.371 0018.000 0.255 0.00070138 0.0012 0.034603
F42 29.12558839 337.10171748 0.0333 01.289939 00118.944 0016.708 0.257 0.00071175 0.0012 0.035115
F43 32.30995611 373.95782535 0.0329 -0.302779 00121.875 0018.070 0.259 0.00072013 0.0012 0.035528
F44 00.58249741 006.74186817 0.0320 02.144857 00120.189 0019.176 0.256 0.00073994 0.0012 0.036505
F45 03.63662438 042.09055995 0.0313 -1.004361 00111.255 0018.042 0.253 0.00075718 0.0012 0.037356
F46 26.96164077 312.05602743 0.0312 -1.737481 00123.479 0015.066 0.260 0.00075827 0.0012 0.037409
F47 09.59168569 111.01488067 0.0312 01.377771 00111.205 0014.646 0.254 0.00075813 0.0012 0.037403
F48 00.36376517 004.21024502 0.0302 01.374926 00110.052 0018.088 0.252 0.00078401 0.0012 0.038680
F49 42.24100060 488.90046991 0.0294 01.643477 00109.374 0015.323 0.251 0.00080516 0.0012 0.039723
F50 00.24471237 002.83231910 0.0284 -1.947200 00075.106 0016.993 0.248 0.00083450 0.0012 0.041170
F51 22.95911847 265.73053785 0.0264 01.952668 00081.622 0014.247 0.249 0.00089679 0.0012 0.044244
F52 00.41617785 004.81687326 0.0260 02.820054 00090.144 0015.597 0.250 0.00090921 0.0012 0.044856
F53 18.30458632 211.85863796 0.0255 01.799541 00073.060 0011.105 0.247 0.00093037 0.0012 0.045900
F54 00.31320148 003.62501713 0.0252 -1.220967 00074.575 0015.120 0.247 0.00093791 0.0012 0.046272
F55 01.36354572 015.78177917 0.0242 -0.330595 00091.479 0014.574 0.250 0.00097888 0.0012 0.048294
F56 00.09711605 001.12402836 0.0242 02.173746 00058.178 0014.496 0.239 0.00097829 0.0012 0.048264
F57 00.46002294 005.32433958 0.0238 -1.076702 00058.745 0014.239 0.240 0.00099590 0.0012 0.049133
F58 54.67358315 632.79610127 0.0235 01.603004 00067.210 0013.787 0.245 0.00100866 0.0012 0.049763
F59 12.88803792 149.16710556 0.0234 -1.038664 00061.580 0010.606 0.242 0.00101258 0.0012 0.049956
F60 40.76861850 471.85901042 0.0229 -2.199140 00061.527 0012.262 0.242 0.00103550 0.0012 0.051087
F61 31.17806501 360.85723391 0.0228 -0.926264 00067.132 0012.252 0.246 0.00103856 0.0012 0.051238
F62 08.30369928 096.10763056 0.0227 -0.051413 00072.904 0010.673 0.246 0.00104501 0.0012 0.051556
F63 44.57310699 515.89244201 0.0226 -3.074872 00056.192 0012.133 0.238 0.00104737 0.0012 0.051672
F64 20.43961128 236.56957500 0.0226 01.850489 00056.059 0011.162 0.238 0.00104647 0.0012 0.051628
F65 22.35691285 258.76056539 0.0224 00.357326 00062.086 0012.085 0.243 0.00105601 0.0012 0.052099
F66 19.28011307 223.14945683 0.0224 -1.483738 00062.321 0010.114 0.243 0.00105495 0.0012 0.052047
F67 30.10087732 348.38978380 0.0221 -0.099391 00060.380 0011.326 0.241 0.00107342 0.0012 0.052958
F68 21.03494376 243.45999722 0.0208 01.040570 00058.329 0010.595 0.239 0.00113637 0.0012 0.056063
F69 02.05854402 023.82574097 0.0207 -2.465342 00061.757 0012.351 0.240 0.00114649 0.0012 0.056563
F70 00.94348034 010.91991134 0.0205 -2.703999 00066.462 0012.285 0.244 0.00115789 0.0012 0.057125
F71 39.04696532 451.93246898 0.0205 03.140335 00066.281 0010.973 0.244 0.00115501 0.0012 0.056983
F72 10.74579542 124.37263218 0.0201 01.211200 00052.970 0009.270 0.237 0.00118093 0.0012 0.058262
F73 04.00612857 046.36722882 0.0197 02.371894 00038.221 0011.089 0.234 0.00120176 0.0012 0.059289
F74 01.98394206 022.96229236 0.0196 -0.268125 00039.689 0011.736 0.234 0.00120795 0.0012 0.059595
F75 02.66034510 030.79103125 0.0195 -1.313930 00031.584 0011.520 0.230 0.00121721 0.0012 0.060051
F76 35.67436320 412.89772222 0.0188 00.352304 00044.944 0009.886 0.236 0.00126024 0.0012 0.062174
F77 73.34900827 848.94685498 0.0187 02.746396 00048.045 0012.927 0.236 0.00126389 0.0012 0.062354
